tab	measurements
measurement	experiment	specimen	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
PI47-9a_LP-DIR-T16	PI47-9a_LP-DIR-T	PI47-9a	    5.9	225.5	 35.0 	0	0	0.00	0.00	16	  698.0	This study	hargrave 2015-10-13 11:22:16	LT-T-Z:LP-DIR-T	g	254	u	8	273			pmagpy-4.2.19	2.64e-08	1.82e-09	2.04e-09	5.22e-10
PI47-9a_LP-DIR-T17	PI47-9a_LP-DIR-T	PI47-9a	    4.7	229.8	 33.5 	0	0	0.00	0.00	17	  723.0	This study	hargrave 2015-10-13 17:03:23	LT-T-Z:LP-DIR-T	g	255	u	8	273			pmagpy-4.2.19	2.32e-08	1.24e-09	1.35e-09	6.36e-10
PI47-9a_LP-DIR-T18	PI47-9a_LP-DIR-T	PI47-9a	    3.5	226.6	 33.7 	0	0	0.00	0.00	18	  748.0	This study	hargrave 2015-10-16 18:48:40	LT-T-Z:LP-DIR-T	g	256	u	8	273			pmagpy-4.2.19	1.89e-08	9.38e-10	7.39e-10	2.04e-10
PI47-9a_LP-DIR-T19	PI47-9a_LP-DIR-T	PI47-9a	    3.2	228.3	 34.7 	0	0	0.00	0.00	19	  773.0	This study	hargrave 2015-10-19 18:40:14	LT-T-Z:LP-DIR-T	g	257	u	8	273			pmagpy-4.2.19	1.66e-08	5.76e-10	6.36e-10	4.11e-10
PI47-9a_LP-DIR-T20	PI47-9a_LP-DIR-T	PI47-9a	    2.9	232.8	 35.3 	0	0	0.00	0.00	20	  798.0	This study	hargrave 2015-10-20 13:41:28	LT-T-Z:LP-DIR-T	g	258	u	8	273			pmagpy-4.2.19	1.12e-08	4.02e-10	3.22e-10	3.34e-10
PI47-9a_LP-DIR-T21	PI47-9a_LP-DIR-T	PI47-9a	    2.8	247.0	 33.5 	0	0	0.00	0.00	21	  823.0	This study	hargrave 2015-10-26 14:38:13	LT-T-Z:LP-DIR-T	g	259	u	8	273			pmagpy-4.2.19	6.50e-09	2.26e-10	2.14e-10	9.50e-11
PI47-9a_LP-DIR-T22	PI47-9a_LP-DIR-T	PI47-9a	    1.3	228.7	 36.3 	0	0	0.00	0.00	22	  833.0	This study	hargrave 2015-10-27 12:32:10	LT-T-Z:LP-DIR-T	g	260	u	8	273			pmagpy-4.2.19	4.98e-09	1.40e-10	2.84e-11	3.10e-11
PI47-9a_LP-DIR-T23	PI47-9a_LP-DIR-T	PI47-9a	    2.7	231.1	 37.6 	0	0	0.00	0.00	23	  833.0	This study	hargrave 2015-10-29 11:03:16	LT-T-Z:LP-DIR-T	g	261	u	8	273			pmagpy-4.2.19	4.94e-09	2.25e-10	5.60e-11	7.85e-11
PI47-9a_LP-DIR-T24	PI47-9a_LP-DIR-T	PI47-9a	    3.5	247.1	 54.9 	0	0	0.00	0.00	24	  843.0	This study	hargrave 2015-10-29 17:02:00	LT-T-Z:LP-DIR-T	g	262	u	8	273			pmagpy-4.2.19	3.07e-09	1.17e-10	1.28e-10	7.36e-11
PI47-9a_LP-DIR-T25	PI47-9a_LP-DIR-T	PI47-9a	    3.9	250.9	 63.3 	0	0	0.00	0.00	25	  848.0	This study	hargrave 2015-10-31 12:34:06	LT-T-Z:LP-DIR-T	g	263	u	8	273			pmagpy-4.2.19	2.77e-09	9.93e-11	1.40e-10	8.99e-11
PI47-9a_LP-DIR-T26	PI47-9a_LP-DIR-T	PI47-9a	    2.3	245.0	 57.7 	0	0	0.00	0.00	26	  850.0	This study	hargrave 2015-10-31 19:38:29	LT-T-Z:LP-DIR-T	g	264	u	8	273			pmagpy-4.2.19	3.34e-09	8.56e-11	8.69e-11	8.00e-11
PI47-9a_LP-DIR-T27	PI47-9a_LP-DIR-T	PI47-9a	    2.5	231.5	 56.1 	0	0	0.00	0.00	27	  852.0	This study	hargrave 2015-11-05 12:19:18	LT-T-Z:LP-DIR-T	g	265	u	8	273			pmagpy-4.2.19	2.66e-09	5.79e-11	6.40e-11	9.64e-11
