tab 	pmag_specimens
er_citation_names	er_location_name	er_sample_name	er_site_name	er_specimen_name	magic_experiment_names	magic_method_codes	measurement_step_max	measurement_step_min	measurement_step_unit	specimen_b	specimen_b_beta	specimen_b_sigma	specimen_correction	specimen_dang	specimen_description	specimen_direction_type	specimen_drats	specimen_f	specimen_fvds	specimen_int	specimen_int_mad	specimen_int_n	specimen_int_ptrm_n	specimen_lab_field_dc	specimen_md	specimen_q	specimen_rsc
This study	807	0807c792119	0807c	0807c7921193	0807c7921193 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	573	448	K	-0.134	0.073	0.01	u	33.8	Recalculated from original measurements; supercedes published results.	l	14.7	0.411	0.186	3.357e-06	12.5	6	4	2.5e-05	-1	4.4	0.9791
This study	807	0807c792143	0807c	0807c7921432	0807c7921432 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	573	373	K	-1.009	0.031	0.031	u	6.4	Recalculated from original measurements; supercedes published results.	l	15.6	0.248	0.424	2.522e-05	9.6	9	4	2.5e-05	-1	6.7	0.9934
This study	807	0807c794027	0807c	0807c7940271	0807c7940271 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	798	598	K	-0.737	0.032	0.023	u	3.3	Recalculated from original measurements; supercedes published results.	l	66.1	0.764	0.721	2.948e-05	3.7	9	8	4e-05	2	19.5	0.9929
This study	807	0807c79x026	0807c	0807c79x0261	0807c79x0261 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	598	373	K	-0.497	0.074	0.037	u	13.7	Recalculated from original measurements; supercedes published results.	l	26.6	0.21	0.335	1.243e-05	15	10	5	2.5e-05	-1	2.4	0.9564
This study	807	0807c79x026	0807c	0807c79x0262	0807c79x0262 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	373	K	-0.943	0.054	0.051	u	3.5	Recalculated from original measurements; supercedes published results.	l	11.5	0.345	0.667	2.356e-05	8.7	14	6	2.5e-05	-1	5.8	0.9651
This study	807	0807c825015	0807c	0807c8250152	0807c8250152 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	373	K	-0.942	0.064	0.06	u	0.7	Recalculated from original measurements; supercedes published results.	l	12	0.847	0.888	2.354e-05	3.6	17	8	2.5e-05	-1	12.2	0.9394
This study	807	0807c825015	0807c	0807c8250153	0807c8250153 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-2.075	0.04	0.082	u	5	Recalculated from original measurements; supercedes published results.	l	22.8	0.758	0.791	5.189e-05	4.9	15	7	2.5e-05	-1	17.2	0.9796
This study	807	0807c857130	0807c	0807c8571302	0807c8571302 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	523	K	-1.363	0.039	0.054	u	16.5	Recalculated from original measurements; supercedes published results.	l	22.9	0.324	0.457	3.409e-05	8.9	11	8	2.5e-05	-1	7.2	0.9862
This study	807	0807c857130	0807c	0807c8571303	0807c8571303 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-1.144	0.032	0.037	u	6.4	Recalculated from original measurements; supercedes published results.	l	27.2	0.386	0.558	2.859e-05	10.4	13	6	2.5e-05	-1	10.9	0.9888
This study	807	0807c861105	0807c	0807c8611052	0807c8611052 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	648	K	-0.696	0.023	0.016	u	2	Recalculated from original measurements; supercedes published results.	l	6.8	0.661	0.587	1.741e-05	2.5	6	8	2.5e-05	-1	19.1	0.9978
This study	807	0807c861105	0807c	0807c8611053	0807c8611053 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	648	373	K	-0.48	0.038	0.018	u	11.3	Recalculated from original measurements; supercedes published results.	l	42.3	0.152	0.172	1.2e-05	30.1	12	6	2.5e-05	-1	3.2	0.9857
This study	807	0807c861105	0807c	0807c8611054	0807c8611054 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	548	373	K	-0.118	0.201	0.024	u	14.2	Recalculated from original measurements; supercedes published results.	l	2.8	0.158	0.652	4.719e-06	13.1	6	2	4e-05	9	0.6	0.8453
This study	807	0807c861105	0807c	0807c8611055	0807c8611055 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	798	698	K	-0.565	0.017	0.01	u	4.7	Recalculated from original measurements; supercedes published results.	l	17.2	0.8	0.54	2.26e-05	5.6	5	8	4e-05	6	33.9	0.9991
This study	807	0807c861105	0807c	0807c8611056	0807c8611056 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	773	423	K	-0.514	0.048	0.025	u	7.3	Recalculated from original measurements; supercedes published results.	l	7.9	0.773	0.549	2.058e-05	14.6	14	7	4e-05	6	13.2	0.9729
This study	807	0807c862006	0807c	0807c8620062	0807c8620062 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	373	K	-0.857	0.035	0.03	u	5	Recalculated from original measurements; supercedes published results.	l	26.1	0.51	0.697	2.142e-05	6.9	14	6	2.5e-05	-1	13.2	0.9857
This study	807	0807c862006	0807c	0807c8620063	0807c8620063 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	473	K	-0.336	0.043	0.014	u	14.1	Recalculated from original measurements; supercedes published results.	l	19.1	0.221	0.305	8.408e-06	9.2	7	5	2.5e-05	-1	4.2	0.991
This study	807	0807c862074	0807c	0807c8620743	0807c8620743 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	373	K	-0.32	0.101	0.032	u	22	Recalculated from original measurements; supercedes published results.	l	40.3	0.543	0.517	7.99e-06	20	14	6	2.5e-05	-1	4.7	0.8802
This study	807	0807c86x091	0807c	0807c86x0913	0807c86x0913 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	598	373	K	-0.4	0.036	0.015	u	2.7	Recalculated from original measurements; supercedes published results.	l	21.2	0.35	0.507	1e-05	14.7	10	5	2.5e-05	-1	8	0.9894
This study	807	0807c871048	0807c	0807c8710483	0807c8710483 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	398	K	-0.402	0.065	0.026	u	4.9	Recalculated from original measurements; supercedes published results.	l	10.1	0.58	0.47	1.004e-05	8.8	13	6	2.5e-05	-1	7.9	0.9538
This study	807	0807c871048	0807c	0807c8710486	0807c8710486 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	373	K	-0.598	0.059	0.035	u	3.6	Recalculated from original measurements; supercedes published results.	l	21.6	0.916	0.649	1.496e-05	7	17	8	2.5e-05	-1	13.2	0.9481
This study	807	0807c871073	0807c	0807c8710732	0807c8710732 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	473	K	-0.338	0.052	0.018	u	10	Recalculated from original measurements; supercedes published results.	l	2.1	0.25	0.314	8.446e-06	7.4	7	5	2.5e-05	-1	3.8	0.9864
This study	807	0807c871073	0807c	0807c8710733	0807c8710733 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	373	K	-0.409	0.064	0.026	u	13.4	Recalculated from original measurements; supercedes published results.	l	3.7	0.548	0.541	1.021e-05	9.7	15	6	2.5e-05	-1	7.5	0.9477
This study	807	0807c872091	0807c	0807c8720912	0807c8720912 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	373	K	-0.485	0.042	0.02	u	4	Recalculated from original measurements; supercedes published results.	l	44.2	0.551	0.75	1.213e-05	4.5	14	6	2.5e-05	-1	11.8	0.9793
This study	807	0807c872091	0807c	0807c8720913	0807c8720913 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	823	723	K	-0.289	0.089	0.026	u	1.2	Recalculated from original measurements; supercedes published results.	l	24.2	0.604	0.42	1.157e-05	4.9	5	8	4e-05	7	5	0.9762
This study	807	0807c881057	0807c	0807c8810572	0807c8810572 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	423	K	-0.495	0.031	0.016	u	11.4	Recalculated from original measurements; supercedes published results.	l	24.1	0.543	0.646	1.236e-05	6.9	12	6	2.5e-05	-1	15.3	0.9902
This study	807	0807c881057	0807c	0807c8810573	0807c8810573 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	398	K	-0.934	0.024	0.022	u	3.8	Recalculated from original measurements; supercedes published results.	l	4.8	0.714	0.554	2.335e-05	5.3	14	7	2.5e-05	-1	26.4	0.9933
This study	807	0807c892147	0807c	0807c8921471	0807c8921471 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	823	373	K	-0.149	0.118	0.018	u	62	Recalculated from original measurements; supercedes published results.	l	9	0.983	0.28	5.964e-06	36.1	17	8	4e-05	8	5.9	0.8016
This study	807	0807c892148	0807c	0807c8921482	0807c8921482 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	423	K	-0.618	0.036	0.022	u	7.8	Recalculated from original measurements; supercedes published results.	l	18.1	0.595	0.378	1.546e-05	11.2	12	6	2.5e-05	-1	14.6	0.9871
This study	807	0807c892148	0807c	0807c8921483	0807c8921483 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	473	K	-0.548	0.051	0.028	u	5.8	Recalculated from original measurements; supercedes published results.	l	4.6	0.29	0.131	1.37e-05	12.4	7	5	2.5e-05	-1	4.6	0.9872
This study	807	0807c903094	0807c	0807c9030941	0807c9030941 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	373	K	-0.466	0.039	0.018	u	6	Recalculated from original measurements; supercedes published results.	l	9.2	0.35	0.326	1.166e-05	10	11	5	2.5e-05	-1	7.7	0.9864
This study	807	0807c903094	0807c	0807c9030942	0807c9030942 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	398	K	-0.772	0.042	0.033	u	3.8	Recalculated from original measurements; supercedes published results.	l	50.9	0.581	0.439	1.929e-05	4.2	14	7	2.5e-05	-1	12.4	0.9785
This study	807	0807c903094	0807c	0807c9030943	0807c9030943 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	798	423	K	-0.174	0.074	0.013	u	6.5	Recalculated from original measurements; supercedes published results.	l	15	0.852	0.136	4.358e-06	8.5	16	8	2.5e-05	-1	10	0.9249
This study	807	0807c904041	0807c	0807c9040412	0807c9040412 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	398	K	-0.52	0.077	0.04	u	22.8	Recalculated from original measurements; supercedes published results.	l	50.8	0.296	0.238	1.3e-05	16.8	13	6	2.5e-05	-1	3.4	0.9354
This study	807	0807c904041	0807c	0807c9040413	0807c9040413 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	373	K	-0.485	0.29	0.14	u	46.7	Recalculated from original measurements; supercedes published results.	l	80.8	0.134	0.128	1.212e-05	30.5	13	6	2.5e-05	-1	0.3	0.2897
This study	807	0807c90x093	0807c	0807c90x0935	0807c90x0935 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	623	523	K	-0.562	0.015	0.008	u	11.3	Recalculated from original measurements; supercedes published results.	l	20.6	0.204	0.188	1.406e-05	14.4	5	5	2.5e-05	-1	10.1	0.9993
This study	807	0807c921120	0807c	0807c9211201	0807c9211201 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	448	K	-0.596	0.041	0.025	u	10.4	Recalculated from original measurements; supercedes published results.	l	11.4	0.566	0.367	1.489e-05	9.8	12	7	2.5e-05	-1	12.1	0.9831
This study	807	0807c921120	0807c	0807c9211202	0807c9211202 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	448	K	-0.489	0.117	0.057	u	27.3	Recalculated from original measurements; supercedes published results.	l	12.1	0.372	0.238	1.223e-05	29.2	10	6	2.5e-05	-1	2.7	0.8938
This study	833	0833b812086	0833b	0833b8120861	0833b8120861 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	373	K	-2.01	0.109	0.219	u	19.4	Recalculated from original measurements; supercedes published results.	l	94.1	0.645	0.422	5.026e-05	9.9	14	7	2.5e-05	-1	5	0.8626
This study	833	0833b812086	0833b	0833b8120862	0833b8120862 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	748	373	K	-2.874	0.227	0.651	u	4.3	Recalculated from original measurements; supercedes published results.	l	32.2	1.182	0.731	7.186e-05	9	16	7	2.5e-05	-1	4.2	0.4105
This study	833	0833b812086	0833b	0833b8120863	0833b8120863 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	498	K	-0.656	0.128	0.084	u	46.5	Recalculated from original measurements; supercedes published results.	l	55.5	0.502	0.079	1.64e-05	34.7	9	7	2.5e-05	-1	2.2	0.8882
This study	834	0834b141032	0834b	0834b1410323	0834b1410323 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	623	K	-0.485	0.024	0.012	u	1	Recalculated from original measurements; supercedes published results.	l	12.2	0.442	0.623	1.212e-05	3.9	7	8	2.5e-05	-1	14.3	0.997
This study	834	0834b141032	0834b	0834b1410324	0834b1410324 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	598	473	K	-0.415	0.095	0.039	u	3.6	Recalculated from original measurements; supercedes published results.	l	8.3	0.081	0.106	1.037e-05	7.2	6	4	2.5e-05	-1	0.7	0.9641
This study	834	0834b141032	0834b	0834b1410325	0834b1410325 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	448	K	-0.53	0.013	0.007	u	2.4	Recalculated from original measurements; supercedes published results.	l	11.7	0.442	0.235	1.326e-05	10.9	11	7	2.5e-05	-1	30.1	0.9985
This study	834	0834b141032	0834b	0834b1410326	0834b1410326 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	748	373	K	-0.351	0.016	0.006	u	3.2	Recalculated from original measurements; supercedes published results.	l	16.3	0.848	0.791	1.402e-05	3	14	7	4e-05	3	47.2	0.9968
This study	834	0834b141032	0834b	0834b1410327	0834b1410327 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	773	373	K	-0.357	0.025	0.009	u	4.1	Recalculated from original measurements; supercedes published results.	l	8.1	0.857	0.727	1.428e-05	4.6	15	7	4e-05	5	29.7	0.9917
This study	834	0834b151005	0834b	0834b1510052	0834b1510052 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	373	K	-0.449	0.042	0.019	u	0.4	Recalculated from original measurements; supercedes published results.	l	59.1	0.79	0.189	1.121e-05	3	16	7	2.5e-05	-1	15.8	0.9755
This study	834	0834b151005	0834b	0834b1510053	0834b1510053 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	398	K	-0.359	0.076	0.027	u	19.3	Recalculated from original measurements; supercedes published results.	l	30.3	0.834	0.512	8.97e-06	17	16	8	2.5e-05	-1	9.2	0.9205
This study	834	0834b152056	0834b	0834b1520562	0834b1520562 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	623	K	-0.414	0.035	0.014	u	1.4	Recalculated from original measurements; supercedes published results.	l	11.8	0.408	0.387	1.036e-05	3.2	7	8	2.5e-05	-1	9.1	0.994
This study	834	0834b152056	0834b	0834b1520563	0834b1520563 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	623	K	-0.438	0.04	0.017	u	1.6	Recalculated from original measurements; supercedes published results.	l	10.5	0.418	0.468	1.094e-05	3.5	7	8	2.5e-05	-1	8.2	0.992
This study	834	0834b152056	0834b	0834b1520564	0834b1520564 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	773	373	K	-0.279	0.03	0.008	u	6.7	Recalculated from original measurements; supercedes published results.	l	16.4	0.695	0.562	1.114e-05	6.6	15	7	4e-05	6	20.3	0.9884
This study	834	0834b152056	0834b	0834b1520565	0834b1520565 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	773	373	K	-0.303	0.045	0.014	u	3	Recalculated from original measurements; supercedes published results.	l	17.4	0.688	0.591	1.211e-05	3.8	15	7	4e-05	6	13.6	0.9741
This study	834	0834b152056	0834b	0834b1520566	0834b1520566 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	773	573	K	-0.242	0.042	0.01	u	7.9	Recalculated from original measurements; supercedes published results.	l	25.6	0.454	0.368	9.699e-06	9.9	9	7	4e-05	5	8.7	0.988
This study	834	0834b161047	0834b	0834b1610472	0834b1610472 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	648	K	-0.435	0.057	0.025	u	0.9	Recalculated from original measurements; supercedes published results.	l	23	0.7	0.647	1.088e-05	1.9	6	8	2.5e-05	-1	8.7	0.9869
This study	834	0834b161047	0834b	0834b1610473	0834b1610473 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	648	K	-0.418	0.051	0.021	u	1.9	Recalculated from original measurements; supercedes published results.	l	14	0.64	0.683	1.044e-05	1.2	6	8	2.5e-05	-1	9.4	0.9897
This study	834	0834b162022	0834b	0834b1620221	0834b1620221 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	373	K	-0.276	0.034	0.009	u	3	Recalculated from original measurements; supercedes published results.	l	8.2	0.872	0.787	6.911e-06	3.1	17	8	2.5e-05	-1	23.2	0.9832
This study	834	0834b162022	0834b	0834b1620222	0834b1620222 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	373	K	-0.267	0.023	0.006	u	6.6	Recalculated from original measurements; supercedes published results.	l	10.7	0.861	0.75	6.665e-06	7	17	8	2.5e-05	-1	34.5	0.9924
This study	834	0834b162022	0834b	0834b1620223	0834b1620223 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	498	K	-0.25	0.025	0.006	u	2.4	Recalculated from original measurements; supercedes published results.	l	0.4	0.457	0.363	6.262e-06	4.1	10	7	2.5e-05	-1	15.9	0.9951
This study	834	0834b162022	0834b	0834b1620224	0834b1620224 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	373	K	-0.222	0.025	0.006	u	0.3	Recalculated from original measurements; supercedes published results.	l	17.7	0.842	0.654	5.551e-06	6.4	17	8	2.5e-05	-1	29.6	0.9903
This study	834	0834b181003	0834b	0834b1810032	0834b1810032 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	698	398	K	-0.213	0.052	0.011	u	11.5	Recalculated from original measurements; supercedes published results.	l	15.3	0.639	0.206	5.314e-06	9.7	13	7	2.5e-05	-1	11.1	0.9709
This study	834	0834b181003	0834b	0834b1810033	0834b1810033 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	673	423	K	-0.312	0.039	0.012	u	2.4	Recalculated from original measurements; supercedes published results.	l	4.1	0.708	0.302	7.791e-06	4.1	11	6	2.5e-05	-1	16.2	0.9862
This study	834	0834b181020	0834b	0834b1810202	0834b1810202 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	398	K	-0.277	0.033	0.009	u	4.9	Recalculated from original measurements; supercedes published results.	l	4	0.662	0.322	6.932e-06	5.1	14	7	2.5e-05	-1	18	0.987
This study	834	0834b181020	0834b	0834b1810203	0834b1810203 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	723	473	K	-0.181	0.02	0.004	u	8	Recalculated from original measurements; supercedes published results.	l	8.6	0.512	0.306	4.514e-06	6.2	11	7	2.5e-05	-1	22.1	0.9964
This study	834	0834b181062	0834b	0834b1810622	0834b1810622 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	523	373	K	-0.352	0.034	0.012	u	21.6	Recalculated from original measurements; supercedes published results.	l	27.2	0.299	0.225	8.798e-06	12.5	7	3	2.5e-05	-1	7.4	0.9944
This study	834	0834b181062	0834b	0834b1810623	0834b1810623 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	573	K	-0.087	0.191	0.017	u	8.2	Recalculated from original measurements; supercedes published results.	l	28.9	0.526	0.208	2.168e-06	5.5	9	8	2.5e-05	-1	1.3	0.7604
This study	834	0834b181062	0834b	0834b1810624	0834b1810624 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	773	373	K	-0.081	0.116	0.009	u	34.2	Recalculated from original measurements; supercedes published results.	l	8.8	0.635	0.287	3.242e-06	26.6	15	7	4e-05	13	4.1	0.8322
This study	834	0834b181062	0834b	0834b1810625	0834b1810625 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-BT-MD : LP-PI-BT-IZZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	723	373	K	-0.126	0.049	0.006	u	26	Recalculated from original measurements; supercedes published results.	l	5.5	0.76	0.346	5.056e-06	9.4	13	6	4e-05	17	13.7	0.9736
This study	834	0834b201041	0834b	0834b2010412	0834b2010412 : LP-PI-TRM : LP-PI-ALT-PTRM : LP-PI-ZI	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	773	373	K	-0.406	0.012	0.005	u	8.9	Recalculated from original measurements; supercedes published results.	l	0.1	0.975	0.67	1.014e-05	10.5	17	8	2.5e-05	-1	77.4	0.998
