tab 	pmag_results
average_age	average_age_sigma	average_age_unit	average_int	average_int_n	average_int_sigma	average_int_sigma_perc	average_lat	average_lat_sigma	average_lon	average_lon_sigma	conglomerate_test	contact_test	data_type	er_citation_names	er_location_names	er_sample_names	er_site_names	er_specimen_names	fold_test	magic_method_codes	model_lat	pmag_criteria_codes	pmag_result_name	result_description	reversal_test	rock_magnetic_test	tilt_correction	vadm	vadm_n	vadm_sigma
155.7	0.3	Ma	1.121e-05	2	3.975e-06	35.47	-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765c631088	0765c	0765c6310881 : 0765c6310883	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765c631088	V [A] DM of sample.	ND	ND	-1	1.956e+22	2	6.936e+21
155.7	0.3	Ma	3.522e-06	1	0		-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765c631100	0765c	0765c6311004	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765c631100	V [A] DM of sample.	ND	ND	-1	6.145e+21	1	0
155.7	0.3	Ma	8.849e-06	1	0		-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765c631127	0765c	0765c6311271	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765c631127	V [A] DM of sample.	ND	ND	-1	1.544e+22	1	0
155.7	0.3	Ma	4.09e-06	1	0		-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765c633075	0765c	0765c6330751	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765c633075	V [A] DM of sample.	ND	ND	-1	7.137e+21	1	0
155.7	0.3	Ma	7.386e-06	1	0		-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765c634056	0765c	0765c6340561	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765c634056	V [A] DM of sample.	ND	ND	-1	1.289e+22	1	0
155.7	0.3	Ma	5.074e-06	1	0		-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765c635098	0765c	0765c6350981	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765c635098	V [A] DM of sample.	ND	ND	-1	8.854e+21	1	0
155.7	0.3	Ma	3.031e-05	1	0		-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765c651124	0765c	0765c6511242	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765c651124	V [A] DM of sample.	ND	ND	-1	5.289e+22	1	0
155.7	0.3	Ma	3.301e-05	1	0		-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765d051065	0765d	0765d0510652	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765d051065	V [A] DM of sample.	ND	ND	-1	5.76e+22	1	0
155.7	0.3	Ma	1.017e-05	1	0		-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765d054055	0765d	0765d0540552	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765d054055	V [A] DM of sample.	ND	ND	-1	1.775e+22	1	0
155.7	0.3	Ma	2.961e-06	1	0		-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765d061008	0765d	0765d0610082	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765d061008	V [A] DM of sample.	ND	ND	-1	5.167e+21	1	0
155.7	0.3	Ma	2.983e-05	2	1.399e-05	46.89	-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765d131096	0765d	0765d1310961 : 0765d1310962	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765d131096	V [A] DM of sample.	ND	ND	-1	5.205e+22	2	2.441e+22
155.7	0.3	Ma	1.126e-05	2	2.157e-06	19.14	-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765d131101	0765d	0765d1311013 : 0765d1311015	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765d131101	V [A] DM of sample.	ND	ND	-1	1.965e+22	2	3.764e+21
155.7	0.3	Ma	3.244e-05	1	0		-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765d131102	0765d	0765d1311022	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765d131102	V [A] DM of sample.	ND	ND	-1	5.66e+22	1	0
155.7	0.3	Ma	3.707e-05	2	3.719e-06	10.03	-16		118		ND	ND	i	This study : Tauxe & Yamazaki 2007	765	0765d131105	0765d	0765d1311052 : 0765d1311055	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-39	IE-SPEC	V[A]DM: Sample 0765d131105	V [A] DM of sample.	ND	ND	-1	6.468e+22	2	6.489e+21
38.9	1	Ma	3.228e-05	1	0		5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770b172080	0770b	0770b1720801	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770b172080	V [A] DM of sample.	ND	ND	-1	7.684e+22	1	0
38.9	1	Ma	1.473e-05	4	1.066e-06	7.241	5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770b173147	0770b	0770b1731472 : 0770b1731473 : 0770b1731474 : 0770b1731475	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770b173147	V [A] DM of sample.	ND	ND	-1	3.507e+22	4	2.538e+21
38.9	1	Ma	1.555e-05	2	1.365e-06	8.779	5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770b182035	0770b	0770b1820351 : 0770b1820352	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770b182035	V [A] DM of sample.	ND	ND	-1	3.702e+22	2	3.249e+21
38.9	1	Ma	1.471e-05	6	3.798e-06	25.82	5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770b183005	0770b	0770b1830052 : 0770b1830053 : 0770b1830054 : 0770b1830056 : 0770b1830057 : 0770b1830058	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770b183005	V [A] DM of sample.	ND	ND	-1	3.502e+22	6	9.041e+21
38.9	1	Ma	2.888e-05	1	0		5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770b183031	0770b	0770b1830312	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770b183031	V [A] DM of sample.	ND	ND	-1	6.875e+22	1	0
38.9	1	Ma	1.682e-05	2	8.273e-07	4.92	5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770c023008	0770c	0770c0230081 : 0770c0230082	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770c023008	V [A] DM of sample.	ND	ND	-1	4.004e+22	2	1.969e+21
38.9	1	Ma	1.73e-05	2	5.162e-07	2.983	5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770c023009	0770c	0770c0230093 : 0770c0230094	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770c023009	V [A] DM of sample.	ND	ND	-1	4.118e+22	2	1.229e+21
38.9	1	Ma	1.566e-05	2	1.174e-06	7.496	5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770c023019	0770c	0770c0230193 : 0770c0230194	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770c023019	V [A] DM of sample.	ND	ND	-1	3.728e+22	2	2.795e+21
38.9	1	Ma	1.851e-05	2	1.584e-06	8.557	5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770c023020	0770c	0770c0230201 : 0770c0230202	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770c023020	V [A] DM of sample.	ND	ND	-1	4.406e+22	2	3.771e+21
38.9	1	Ma	1.191e-05	1	0		5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770c032050	0770c	0770c0320501	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770c032050	V [A] DM of sample.	ND	ND	-1	2.835e+22	1	0
38.9	1	Ma	1.123e-05	2	2.01e-06	17.9	5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770c041016	0770c	0770c0410161 : 0770c0410162	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770c041016	V [A] DM of sample.	ND	ND	-1	2.673e+22	2	4.785e+21
38.9	1	Ma	8.064e-06	3	1.621e-06	20.1	5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770c04x014	0770c	0770c04x0141 : 0770c04x0142 : 0770c04x0143	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770c04x014	V [A] DM of sample.	ND	ND	-1	1.92e+22	3	3.859e+21
38.9	1	Ma	3.079e-05	2	1.389e-05	45.1	5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770c091081	0770c	0770c0910811 : 0770c0910812	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770c091081	V [A] DM of sample.	ND	ND	-1	7.33e+22	2	3.307e+22
38.9	1	Ma	1.717e-05	2	5.643e-06	32.86	5		124		ND	ND	i	This study : Tauxe & Yamazaki 2007	770	0770c091084	0770c	0770c0910841 : 0770c0910842	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	14	IE-SPEC	V[A]DM: Sample 0770c091084	V [A] DM of sample.	ND	ND	-1	4.087e+22	2	1.343e+22
2.6	0.1	Ma	5.708e-05	1	0		20		147		ND	ND	i	This study : Tauxe & Yamazaki 2007	781	0781a088010	0781a	0781a0880101	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	20	IE-SPEC	V[A]DM: Sample 0781a088010	V [A] DM of sample.	ND	ND	-1	1.268e+23	1	0
164.4	3	Ma	8.114e-06	1	0		19		156		ND	ND	i	This study : Tauxe & Yamazaki 2007	801	0801c091034	0801c	0801c0910341	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-9	IE-SPEC	V[A]DM: Sample 0801c091034	V [A] DM of sample.	ND	ND	-1	2.021e+22	1	0
114.6	3.2	Ma	2.161e-05	4	2.408e-06	11.15	12		153		ND	ND	i	This study : Tauxe & Yamazaki 2007	802	0802a582101	0802a	0802a5821011 : 0802a5821012 : 0802a5821013 : 0802a5821014	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	-19.4	IE-SPEC	V[A]DM: Sample 0802a582101	V [A] DM of sample.	ND	ND	-1	4.835e+22	4	5.387e+21
88	6	Ma	1.853e-05	1	0		2		161		ND	ND	i	This study : Tauxe & Yamazaki 2007	803	0803d693068	0803d	0803d6930682	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-32	IE-SPEC	V[A]DM: Sample 0803d693068	V [A] DM of sample.	ND	ND	-1	3.524e+22	1	0
88	6	Ma	4.952e-05	1	0		2		161		ND	ND	i	This study : Tauxe & Yamazaki 2007	803	0803d693113	0803d	0803d6931132	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-32	IE-SPEC	V[A]DM: Sample 0803d693113	V [A] DM of sample.	ND	ND	-1	9.416e+22	1	0
88	6	Ma	9.831e-06	2	9.595e-07	9.76	2		161		ND	ND	i	This study : Tauxe & Yamazaki 2007	803	0803d702120	0803d	0803d7021201 : 0803d7021202	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-32	IE-SPEC	V[A]DM: Sample 0803d702120	V [A] DM of sample.	ND	ND	-1	1.869e+22	2	1.825e+21
122.4	0.8	Ma	3.573e-05	2	8.415e-07	2.355	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c742027	0807c	0807c7420272 : 0807c7420273	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c742027	V [A] DM of sample.	ND	ND	-1	6.624e+22	2	1.56e+21
122.4	0.8	Ma	5.063e-06	1	0		4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c742089	0807c	0807c7420893	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c742089	V [A] DM of sample.	ND	ND	-1	9.387e+21	1	0
122.4	0.8	Ma	3.652e-05	2	3.111e-07	0.8519	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c742091	0807c	0807c7420912 : 0807c7420913	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c742091	V [A] DM of sample.	ND	ND	-1	6.771e+22	2	5.768e+20
122.4	0.8	Ma	7.968e-06	2	9.687e-07	12.16	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c742097	0807c	0807c7420972 : 0807c7420973	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c742097	V [A] DM of sample.	ND	ND	-1	1.477e+22	2	1.796e+21
122.4	0.8	Ma	4.205e-05	2	1.749e-05	41.6	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c751027	0807c	0807c7510272 : 0807c7510273	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c751027	V [A] DM of sample.	ND	ND	-1	7.796e+22	2	3.243e+22
122.4	0.8	Ma	3.415e-05	3	2.448e-06	7.168	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c752004	0807c	0807c7520042 : 0807c7520043 : 0807c7520045	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c752004	V [A] DM of sample.	ND	ND	-1	6.332e+22	3	4.539e+21
122.4	0.8	Ma	2.404e-05	2	2.524e-06	10.5	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c752032	0807c	0807c7520322 : 0807c7520323	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c752032	V [A] DM of sample.	ND	ND	-1	4.457e+22	2	4.68e+21
122.4	0.8	Ma	4.06e-05	1	0		4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c752039	0807c	0807c7520393	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c752039	V [A] DM of sample.	ND	ND	-1	7.527e+22	1	0
122.4	0.8	Ma	6.918e-06	1	0		4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c752066	0807c	0807c7520663	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c752066	V [A] DM of sample.	ND	ND	-1	1.283e+22	1	0
122.4	0.8	Ma	3.349e-05	2	1.979e-05	59.11	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c752072	0807c	0807c7520722 : 0807c7520726	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c752072	V [A] DM of sample.	ND	ND	-1	6.209e+22	2	3.669e+22
122.4	0.8	Ma	3.323e-05	1	0		4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c754096	0807c	0807c7540962	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c754096	V [A] DM of sample.	ND	ND	-1	6.161e+22	1	0
122.4	0.8	Ma	6.996e-05	2	1.853e-06	2.648	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c771035	0807c	0807c7710352 : 0807c7710353	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c771035	V [A] DM of sample.	ND	ND	-1	1.297e+23	2	3.436e+21
122.4	0.8	Ma	4.896e-05	1	0		4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c771037	0807c	0807c7710373	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c771037	V [A] DM of sample.	ND	ND	-1	9.077e+22	1	0
122.4	0.8	Ma	3.048e-05	2	9.001e-06	29.54	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c772034	0807c	0807c7720342 : 0807c7720343	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c772034	V [A] DM of sample.	ND	ND	-1	5.651e+22	2	1.669e+22
122.4	0.8	Ma	2.446e-05	4	9.586e-06	39.19	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c772114	0807c	0807c7721141 : 0807c7721142 : 0807c7721143 : 0807c7721144	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c772114	V [A] DM of sample.	ND	ND	-1	4.535e+22	4	1.777e+22
122.4	0.8	Ma	2.521e-05	2	1.715e-05	68	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c781034	0807c	0807c7810344 : 0807c7810345	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c781034	V [A] DM of sample.	ND	ND	-1	4.674e+22	2	3.18e+22
122.4	0.8	Ma	3.868e-05	2	3.62e-06	9.36	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c791058	0807c	0807c7910582 : 0807c7910583	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c791058	V [A] DM of sample.	ND	ND	-1	7.171e+22	2	6.712e+21
122.4	0.8	Ma	2.522e-05	1	0		4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c792143	0807c	0807c7921432	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c792143	V [A] DM of sample.	ND	ND	-1	4.676e+22	1	0
122.4	0.8	Ma	1.799e-05	2	7.87e-06	43.73	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c79x026	0807c	0807c79x0261 : 0807c79x0262	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c79x026	V [A] DM of sample.	ND	ND	-1	3.335e+22	2	1.459e+22
122.4	0.8	Ma	3.772e-05	2	2.005e-05	53.15	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c825015	0807c	0807c8250152 : 0807c8250153	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c825015	V [A] DM of sample.	ND	ND	-1	6.993e+22	2	3.717e+22
122.4	0.8	Ma	2.859e-05	1	0		4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c857130	0807c	0807c8571303	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c857130	V [A] DM of sample.	ND	ND	-1	5.301e+22	1	0
122.4	0.8	Ma	2.02e-05	3	2.616e-06	12.95	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c861105	0807c	0807c8611052 : 0807c8611055 : 0807c8611056	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c861105	V [A] DM of sample.	ND	ND	-1	3.745e+22	3	4.85e+21
122.4	0.8	Ma	1.491e-05	2	9.201e-06	61.69	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c862006	0807c	0807c8620062 : 0807c8620063	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c862006	V [A] DM of sample.	ND	ND	-1	2.764e+22	2	1.706e+22
122.4	0.8	Ma	1e-05	1	0		4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c86x091	0807c	0807c86x0913	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c86x091	V [A] DM of sample.	ND	ND	-1	1.854e+22	1	0
122.4	0.8	Ma	1.25e-05	2	3.479e-06	27.83	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c871048	0807c	0807c8710483 : 0807c8710486	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c871048	V [A] DM of sample.	ND	ND	-1	2.318e+22	2	6.45e+21
122.4	0.8	Ma	9.328e-06	2	1.247e-06	13.37	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c871073	0807c	0807c8710732 : 0807c8710733	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c871073	V [A] DM of sample.	ND	ND	-1	1.729e+22	2	2.312e+21
122.4	0.8	Ma	1.157e-05	1	0		4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c872091	0807c	0807c8720913	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c872091	V [A] DM of sample.	ND	ND	-1	2.145e+22	1	0
122.4	0.8	Ma	1.785e-05	2	7.771e-06	43.52	4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c881057	0807c	0807c8810572 : 0807c8810573	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c881057	V [A] DM of sample.	ND	ND	-1	3.309e+22	2	1.441e+22
122.4	0.8	Ma	1.546e-05	1	0		4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c892148	0807c	0807c8921482	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c892148	V [A] DM of sample.	ND	ND	-1	2.866e+22	1	0
122.4	0.8	Ma	1.166e-05	1	0		4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c903094	0807c	0807c9030941	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c903094	V [A] DM of sample.	ND	ND	-1	2.162e+22	1	0
122.4	0.8	Ma	1.489e-05	1	0		4		157		ND	ND	i	This study : Tauxe & Yamazaki 2007	807	0807c921120	0807c	0807c9211201	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-34	IE-SPEC	V[A]DM: Sample 0807c921120	V [A] DM of sample.	ND	ND	-1	2.761e+22	1	0
6	0.2	Ma	1.342e-05	4	9.687e-07	7.218	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b141032	0834b	0834b1410323 : 0834b1410325 : 0834b1410326 : 0834b1410327	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0834b141032	V [A] DM of sample.	ND	ND	-1	3.017e+22	4	2.178e+21
6	0.2	Ma	1.085e-05	5	9.007e-07	8.301	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b152056	0834b	0834b1520562 : 0834b1520563 : 0834b1520564 : 0834b1520565 : 0834b1520566	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-MD:LP-PI-BT-IZZI:SM-TTEST:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0834b152056	V [A] DM of sample.	ND	ND	-1	2.439e+22	5	2.025e+21
6	0.2	Ma	1.066e-05	2	3.111e-07	2.919	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b161047	0834b	0834b1610472 : 0834b1610473	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0834b161047	V [A] DM of sample.	ND	ND	-1	2.397e+22	2	6.994e+20
6	0.2	Ma	6.347e-06	4	5.944e-07	9.365	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b162022	0834b	0834b1620221 : 0834b1620222 : 0834b1620223 : 0834b1620224	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0834b162022	V [A] DM of sample.	ND	ND	-1	1.427e+22	4	1.336e+21
6	0.2	Ma	6.553e-06	2	1.752e-06	26.73	-19		182		ND	ND	i	This study : Tauxe & Yamazaki 2007	834	0834b181003	0834b	0834b1810032 : 0834b1810033	ND	LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ZI:IE-TT	-19	IE-SPEC	V[A]DM: Sample 0834b181003	V [A] DM of sample.	ND	ND	-1	1.473e+22	2	3.939e+21
