tab 	pmag_specimens
specimen_description	specimen_correction	er_site_name	er_sample_name	specimen_dec	er_citation_names	specimen_inferred_age_unit	er_location_name	specimen_inferred_age	specimen_inc	er_specimen_name	magic_method_codes	specimen_int_rel
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-056	35-1-056	184.9	This study	Ma	DSDP Site 522	33.5888	77.3	35-1-056	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.004778
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-060	35-1-060	180.4	This study	Ma	DSDP Site 522	33.5924	27.1	35-1-060	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003986
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-063	35-1-063	191.7	This study	Ma	DSDP Site 522	33.595	32.2	35-1-063	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003511
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-066	35-1-066	194.9	This study	Ma	DSDP Site 522	33.5977	19.4	35-1-066	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003897
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-069	35-1-069	193.7	This study	Ma	DSDP Site 522	33.6004	31.6	35-1-069	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003568
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-073	35-1-073	193	This study	Ma	DSDP Site 522	33.604	19.8	35-1-073	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002797
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-077	35-1-077	191.5	This study	Ma	DSDP Site 522	33.6076	32.1	35-1-077	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002782
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-079	35-1-079	200.6	This study	Ma	DSDP Site 522	33.6094	25.2	35-1-079	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.004359
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-082	35-1-082	173.6	This study	Ma	DSDP Site 522	33.612	26.8	35-1-082	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00209
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-086	35-1-086	192	This study	Ma	DSDP Site 522	33.6156	32	35-1-086	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.0029
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-089	35-1-089	191.2	This study	Ma	DSDP Site 522	33.6183	26.5	35-1-089	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00196
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-092	35-1-092	177.3	This study	Ma	DSDP Site 522	33.621	47.1	35-1-092	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003246
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-095	35-1-095	177.3	This study	Ma	DSDP Site 522	33.6237	27.2	35-1-095	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.004226
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-099	35-1-099	183.2	This study	Ma	DSDP Site 522	33.6272	35.7	35-1-099	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003943
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-103	35-1-103	181.6	This study	Ma	DSDP Site 522	33.6308	32.9	35-1-103	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.004083
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-106	35-1-106	181.4	This study	Ma	DSDP Site 522	33.6335	41.3	35-1-106	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002949
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-109	35-1-109	148.4	This study	Ma	DSDP Site 522	33.6362	41	35-1-109	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002973
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-112	35-1-112	174	This study	Ma	DSDP Site 522	33.6389	39.4	35-1-112	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003494
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-116	35-1-116	181.8	This study	Ma	DSDP Site 522	33.6425	29.6	35-1-116	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003779
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-119	35-1-119	156.3	This study	Ma	DSDP Site 522	33.6451	46.5	35-1-119	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002297
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-123	35-1-123	157.4	This study	Ma	DSDP Site 522	33.6487	43.2	35-1-123	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003311
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-127	35-1-127	160.2	This study	Ma	DSDP Site 522	33.6523	45	35-1-127	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003259
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-130	35-1-130	171.1	This study	Ma	DSDP Site 522	33.655	41.7	35-1-130	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002916
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-133	35-1-133	172.3	This study	Ma	DSDP Site 522	33.6577	48	35-1-133	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.005127
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-136	35-1-136	164.2	This study	Ma	DSDP Site 522	33.6603	35.8	35-1-136	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003851
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-139	35-1-139	155.7	This study	Ma	DSDP Site 522	33.663	53.9	35-1-139	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.006416
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-142	35-1-142	162.7	This study	Ma	DSDP Site 522	33.6657	48.5	35-1-142	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.004918
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-145	35-1-145	172.1	This study	Ma	DSDP Site 522	33.6684	35.8	35-1-145	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00391
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-1-148	35-1-148	157.7	This study	Ma	DSDP Site 522	33.6711	52.1	35-1-148	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002994
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-005	35-2-005	169.5	This study	Ma	DSDP Site 522	33.6773	66.4	35-2-005	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003828
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-009	35-2-009	152.1	This study	Ma	DSDP Site 522	33.6809	52.1	35-2-009	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002952
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-013	35-2-013	232	This study	Ma	DSDP Site 522	33.6845	49.3	35-2-013	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001308
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-015	35-2-015	189.1	This study	Ma	DSDP Site 522	33.6863	47.2	35-2-015	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003155
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-018	35-2-018	158.3	This study	Ma	DSDP Site 522	33.689	58	35-2-018	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002608
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-023	35-2-023	158	This study	Ma	DSDP Site 522	33.6934	63.5	35-2-023	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002437
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-026	35-2-026	161.7	This study	Ma	DSDP Site 522	33.6961	42.3	35-2-026	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001588
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-031	35-2-031	192.7	This study	Ma	DSDP Site 522	33.7006	43.5	35-2-031	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001787
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-035	35-2-035	158.3	This study	Ma	DSDP Site 522	33.7042	48.3	35-2-035	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001836
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-038	35-2-038	174.3	This study	Ma	DSDP Site 522	33.7069	35.6	35-2-038	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002238
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-041	35-2-041	176.1	This study	Ma	DSDP Site 522	33.7095	46.2	35-2-041	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002435
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-044	35-2-044	182.6	This study	Ma	DSDP Site 522	33.7122	45.7	35-2-044	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003275
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-048	35-2-048	160.4	This study	Ma	DSDP Site 522	33.7158	64	35-2-048	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003315
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-051	35-2-051	184.5	This study	Ma	DSDP Site 522	33.7185	49.8	35-2-051	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002891
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-054	35-2-054	184.5	This study	Ma	DSDP Site 522	33.7212	38.2	35-2-054	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002516
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-057	35-2-057	131.9	This study	Ma	DSDP Site 522	33.7238	51.4	35-2-057	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002252
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-060	35-2-060	192.4	This study	Ma	DSDP Site 522	33.7265	63	35-2-060	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003156
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-063	35-2-063	169	This study	Ma	DSDP Site 522	33.7292	37.6	35-2-063	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002811
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-066	35-2-066	197.5	This study	Ma	DSDP Site 522	33.7319	33	35-2-066	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003325
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-069	35-2-069	177.9	This study	Ma	DSDP Site 522	33.7346	20.1	35-2-069	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002798
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-073	35-2-073	182.9	This study	Ma	DSDP Site 522	33.7382	20.5	35-2-073	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002692
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-077	35-2-077	182.1	This study	Ma	DSDP Site 522	33.7417	10.6	35-2-077	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002397
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-080	35-2-080	187.8	This study	Ma	DSDP Site 522	33.7444	17.6	35-2-080	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00432
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-083	35-2-083	181.2	This study	Ma	DSDP Site 522	33.7471	25.5	35-2-083	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002046
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-086	35-2-086	188.5	This study	Ma	DSDP Site 522	33.7498	22.5	35-2-086	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.005152
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-089	35-2-089	189.1	This study	Ma	DSDP Site 522	33.7525	20.9	35-2-089	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003085
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-092	35-2-092	197.4	This study	Ma	DSDP Site 522	33.7552	19.9	35-2-092	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001657
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-095	35-2-095	193.3	This study	Ma	DSDP Site 522	33.7578	16.5	35-2-095	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001987
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-099	35-2-099	177.1	This study	Ma	DSDP Site 522	33.7614	25.2	35-2-099	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002378
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	35-2-102	35-2-102	185.2	This study	Ma	DSDP Site 522	33.7641	22.4	35-2-102	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002162
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-022	36-1-022	237	This study	Ma	DSDP Site 522	33.782	71.8	36-1-022	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003545
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-025	36-1-025	291.5	This study	Ma	DSDP Site 522	33.7847	66.7	36-1-025	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.004151
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-028	36-1-028	197.6	This study	Ma	DSDP Site 522	33.7874	12.5	36-1-028	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.005211
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-031	36-1-031	202.4	This study	Ma	DSDP Site 522	33.79	70.5	36-1-031	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002623
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-034	36-1-034	194.6	This study	Ma	DSDP Site 522	33.7927	69.3	36-1-034	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002459
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-038	36-1-038	203.9	This study	Ma	DSDP Site 522	33.7963	75.2	36-1-038	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002398
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-041	36-1-041	161.1	This study	Ma	DSDP Site 522	33.799	76.3	36-1-041	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003828
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-044	36-1-044	206.7	This study	Ma	DSDP Site 522	33.8017	75.3	36-1-044	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.004215
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-047	36-1-047	160.2	This study	Ma	DSDP Site 522	33.8044	77.3	36-1-047	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003969
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-050	36-1-050	231.6	This study	Ma	DSDP Site 522	33.807	71.4	36-1-050	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00444
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-053	36-1-053	173.2	This study	Ma	DSDP Site 522	33.8097	64.8	36-1-053	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.004172
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-056	36-1-056	178.5	This study	Ma	DSDP Site 522	33.8124	79.7	36-1-056	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.004315
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-058	36-1-058	164.9	This study	Ma	DSDP Site 522	33.8142	59.6	36-1-058	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003259
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-062	36-1-062	176	This study	Ma	DSDP Site 522	33.8178	67.6	36-1-062	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.004745
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-065	36-1-065	331.3	This study	Ma	DSDP Site 522	33.8204	76.2	36-1-065	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003599
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-068	36-1-068	68.3	This study	Ma	DSDP Site 522	33.8231	88.4	36-1-068	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003176
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-072	36-1-072	192.1	This study	Ma	DSDP Site 522	33.8267	43.9	36-1-072	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002897
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-075	36-1-075	174.9	This study	Ma	DSDP Site 522	33.8294	50.1	36-1-075	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002609
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-078	36-1-078	185.7	This study	Ma	DSDP Site 522	33.8321	68.4	36-1-078	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002597
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-081	36-1-081	277.3	This study	Ma	DSDP Site 522	33.8348	-45.4	36-1-081	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003059
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-084	36-1-084	208	This study	Ma	DSDP Site 522	33.8374	61.5	36-1-084	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001676
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-087	36-1-087	173.4	This study	Ma	DSDP Site 522	33.8401	55.2	36-1-087	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002272
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-093	36-1-093	186.9	This study	Ma	DSDP Site 522	33.8455	29.5	36-1-093	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003869
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-096	36-1-096	177.8	This study	Ma	DSDP Site 522	33.8482	30.5	36-1-096	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002112
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-100	36-1-100	206.2	This study	Ma	DSDP Site 522	33.8518	31.5	36-1-100	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001771
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-103	36-1-103	155.9	This study	Ma	DSDP Site 522	33.8544	64.8	36-1-103	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00165
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-106	36-1-106	191.5	This study	Ma	DSDP Site 522	33.8571	47.5	36-1-106	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002073
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-109	36-1-109	158.8	This study	Ma	DSDP Site 522	33.8598	50.8	36-1-109	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001256
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-112	36-1-112	154.1	This study	Ma	DSDP Site 522	33.8625	51.4	36-1-112	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002235
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-115	36-1-115	178.5	This study	Ma	DSDP Site 522	33.8652	65.6	36-1-115	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002431
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-118	36-1-118	181.7	This study	Ma	DSDP Site 522	33.8679	54.3	36-1-118	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003737
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-121	36-1-121	109.4	This study	Ma	DSDP Site 522	33.8705	33.1	36-1-121	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001733
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-124	36-1-124	179.7	This study	Ma	DSDP Site 522	33.8732	54.6	36-1-124	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003652
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-127	36-1-127	104.9	This study	Ma	DSDP Site 522	33.8759	45.8	36-1-127	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001286
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-131	36-1-131	194.5	This study	Ma	DSDP Site 522	33.8795	49.3	36-1-131	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002376
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-134	36-1-134	184.3	This study	Ma	DSDP Site 522	33.8822	59.3	36-1-134	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002186
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-137	36-1-137	161.2	This study	Ma	DSDP Site 522	33.8849	60.7	36-1-137	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002689
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-140	36-1-140	105	This study	Ma	DSDP Site 522	33.8875	71.5	36-1-140	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002559
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-143	36-1-143	182.4	This study	Ma	DSDP Site 522	33.8902	76.9	36-1-143	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002428
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-146	36-1-146	190.6	This study	Ma	DSDP Site 522	33.8929	61.4	36-1-146	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001885
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-1-149	36-1-149	195.6	This study	Ma	DSDP Site 522	33.8956	69.7	36-1-149	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002254
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-008	36-2-008	344.4	This study	Ma	DSDP Site 522	33.9036	86.6	36-2-008	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002643
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-010	36-2-010	188.2	This study	Ma	DSDP Site 522	33.9054	77.3	36-2-010	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002391
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-013	36-2-013	132	This study	Ma	DSDP Site 522	33.9081	70.1	36-2-013	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003665
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-016	36-2-016	177.6	This study	Ma	DSDP Site 522	33.9108	76.3	36-2-016	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002913
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-020	36-2-020	166.1	This study	Ma	DSDP Site 522	33.9144	66	36-2-020	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00348
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-023	36-2-023	143.6	This study	Ma	DSDP Site 522	33.9171	64.1	36-2-023	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002751
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-025	36-2-025	194.3	This study	Ma	DSDP Site 522	33.9188	75.7	36-2-025	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001759
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-028	36-2-028	150	This study	Ma	DSDP Site 522	33.9215	77	36-2-028	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002774
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-031	36-2-031	151	This study	Ma	DSDP Site 522	33.9242	78.7	36-2-031	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002619
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-034	36-2-034	172.7	This study	Ma	DSDP Site 522	33.9269	71	36-2-034	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00283
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-038	36-2-038	110.3	This study	Ma	DSDP Site 522	33.9305	70.4	36-2-038	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002606
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-041	36-2-041	169.9	This study	Ma	DSDP Site 522	33.9332	76.2	36-2-041	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002663
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-046	36-2-046	109.8	This study	Ma	DSDP Site 522	33.9376	78.2	36-2-046	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002705
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-049	36-2-049	130.9	This study	Ma	DSDP Site 522	33.9403	71.8	36-2-049	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003082
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-053	36-2-053	126.4	This study	Ma	DSDP Site 522	33.9439	71.5	36-2-053	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002568
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-056	36-2-056	164.1	This study	Ma	DSDP Site 522	33.9466	73.3	36-2-056	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002753
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-060	36-2-060	185.1	This study	Ma	DSDP Site 522	33.9501	57.9	36-2-060	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001844
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-063	36-2-063	257.9	This study	Ma	DSDP Site 522	33.9528	50.4	36-2-063	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002403
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-067	36-2-067	232.2	This study	Ma	DSDP Site 522	33.9564	52.8	36-2-067	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001562
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-070	36-2-070	235	This study	Ma	DSDP Site 522	33.9591	59.9	36-2-070	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001533
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-073	36-2-073	118	This study	Ma	DSDP Site 522	33.9618	63.6	36-2-073	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001585
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-076	36-2-076	182	This study	Ma	DSDP Site 522	33.9645	70.1	36-2-076	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001636
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-079	36-2-079	147.5	This study	Ma	DSDP Site 522	33.9671	82.1	36-2-079	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.002095
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-082	36-2-082	169.2	This study	Ma	DSDP Site 522	33.9698	70.3	36-2-082	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001593
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-086	36-2-086	158.8	This study	Ma	DSDP Site 522	33.9734	74.4	36-2-086	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.00263
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-088	36-2-088	203.2	This study	Ma	DSDP Site 522	33.9752	66.8	36-2-088	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.003138
Declination rotated section mean=0/180; rel int is NRM/IRM.	u	36-2-092	36-2-092	167.4	This study	Ma	DSDP Site 522	33.9788	55.3	36-2-092	LP-PI-IRM:LP-PI-REL:LT-AF-Z	0.001627
